Food_code,Main_food_description,FII,FII score,,
11513801,"Chocolate milk, made from light syrup with whole milk",-0.08667652,5.17425127,,
11513802,"Chocolate milk, made from light syrup with reduced fat milk",-0.07293393,4.89804893,,
11513803,"Chocolate milk, made from light syrup with low fat milk",-0.08516615,5.14389551,,
11513804,"Chocolate milk, made from light syrup with fat free milk",-0.09713544,5.38445769,,
11513805,"Chocolate milk, made from light syrup with non-dairy milk",-1.83753827,40.3635611,,
11513850,"Chocolate milk, made from sugar free syrup, NS as to type of milk",-0.11240325,5.69131433,,
11513851,"Chocolate milk, made from sugar free syrup with whole milk",-0.11441335,5.73171397,,
11513852,"Chocolate milk, made from sugar free syrup with reduced fat milk",-0.10034589,5.44898211,,
11513853,"Chocolate milk, made from sugar free syrup with low fat milk",-0.113044,5.70419223,,
11513854,"Chocolate milk, made from sugar free syrup with fat free milk",-0.1249072,5.94262232,,
11513855,"Chocolate milk, made from sugar free syrup with non-dairy milk",-1.86291872,40.8736644,,
11514100,"Hot chocolate / Cocoa, made with dry mix and water",-0.08689741,5.17869084,,
11514110,"Hot chocolate / Cocoa, made with dry mix and whole milk",-0.15148697,6.47682996,,
11514120,"Hot chocolate / Cocoa, made with dry mix and reduced fat milk",-0.13785738,6.20289865,,
11514130,"Hot chocolate / Cocoa, made with dry mix and low fat milk",-0.15039222,6.45482731,,
11514140,"Hot chocolate / Cocoa, made with dry mix and fat free milk",-0.16226786,6.69350725,,
11514150,"Hot chocolate / Cocoa, made with dry mix and non-dairy milk",-1.8845213,41.3078392,,
11514310,"Hot chocolate / Cocoa, made with no sugar added dry mix and water",-0.09545097,5.35060276,,
11514320,"Hot chocolate / Cocoa, made with no sugar added dry mix and whole milk",-0.16595941,6.76770099,,
11514330,"Hot chocolate / Cocoa, made with no sugar added dry mix and reduced fat milk",-0.15196492,6.48643593,,
11514340,"Hot chocolate / Cocoa, made with no sugar added dry mix and low fat milk",-0.16457814,6.73993984,,
11514350,"Hot chocolate / Cocoa, made with no sugar added dry mix and fat free milk",-0.17674427,6.98445811,,
11514360,"Hot chocolate / Cocoa, made with no sugar added dry mix and non-dairy milk",-2.00329558,43.6949979,,
11519040,"Strawberry milk, NFS",-0.06164175,4.67109557,,
11519050,"Strawberry milk, whole",-0.0658054,4.75477771,,
11519105,"Strawberry milk, reduced fat",-0.05120874,4.46140993,,
11519200,"Strawberry milk, low fat",-0.06399923,4.71847672,,
11519205,"Strawberry milk, fat free",-0.07696589,4.97908431,,
11519210,"Strawberry milk, reduced sugar",-0.07128065,4.86482086,,
11519215,"Strawberry milk, non-dairy",-1.91508528,41.9221226,,
11526000,"Milk, malted",-0.21328901,7.71894465,,
11531000,"Eggnog, regular",-0.06276275,4.69362572,,
11531500,"Eggnog, lowfat / light",-0.04188626,4.27404416,,
11541110,"Milk shake, home recipe, chocolate",-0.09445989,5.33068362,,
11541120,"Milk shake, home recipe, flavors other than chocolate",-0.05657173,4.56919691,,
11541130,"Milk shake, home recipe, chocolate, light",-0.06781913,4.79525024,,
11541135,"Milk shake, home recipe, flavors other than chocolate, light",-0.06816754,4.80225269,,
11541400,Milk shake with malt,-0.06868476,4.81264782,,
11542100,"Milk shake, fast food, chocolate",-0.17074967,6.86397706,,
11542200,"Milk shake, fast food, flavors other than chocolate",-0.04823603,4.40166356,,
11543000,"Milk shake, bottled, chocolate",-0.17074967,6.86397706,,
11543010,"Milk shake, bottled, flavors other than chocolate",-0.04823603,4.40166356,,
11551050,Licuado or Batido,-0.15450863,6.53756015,,
11553100,"Fruit smoothie, NFS",-0.32081098,9.87995127,,
11553110,"Fruit smoothie, with whole fruit and dairy",-0.32076766,9.87908063,,
11553120,"Fruit smoothie, with whole fruit and dairy, added protein",-0.35089313,10.4845507,,
11553130,"Fruit smoothie juice drink, with dairy",-0.17598556,6.9692095,,
11560000,Chocolate milk drink,-0.11627837,5.76919756,,
11710000,"Infant formula, NFS",-0.18896334,7.23004056,,
11710030,"Infant formula, Similac, NFS",-0.18130888,7.07619894,,
11710050,"Infant formula, NS as to form (Similac Expert Care Alimentum)",-0.19134844,7.27797683,,
11710051,"Infant formula, ready-to-feed (Similac Expert Care Alimentum)",-0.19134844,7.27797683,,
11710053,"Infant formula, powder, made with water, NFS (Similac Expert Care Alimentum)",-0.19134844,7.27797683,,
11710054,"Infant formula, powder, made with tap water (Similac Expert Care Alimentum)",-0.19134844,7.27797683,,
11710055,"Infant formula, powder, made with plain bottled water (Similac Expert Care Alimentum)",-0.19134844,7.27797683,,
11710056,"Infant formula, powder, made with baby water (Similac Expert Care Alimentum)",-0.19134844,7.27797683,,
11710350,,-0.18349589,7.12015414,,
11710351,"Infant formula, ready-to-feed (Similac Advance)",-0.18349589,7.12015414,,
11710352,"Infant formula, liquid concentrate, made with water, NFS (Similac Advance)",-0.18349589,7.12015414,,
11710353,"Infant formula, NS as to form (Similac Advance)",-0.18349589,7.12015414,,
11710354,"Infant formula, liquid concentrate, made with tap water (Similac Advance)",-0.18349589,7.12015414,,
11710355,"Infant formula, liquid concentrate, made with plain bottled water (Similac Advance)",-0.18464827,7.14331502,,
11710356,"Infant formula, liquid concentrate, made with baby water (Similac Advance)",-0.18234351,7.09699326,,
11710357,"Infant formula, powder, made with tap water (Similac Advance)",-0.18349589,7.12015414,,
11710358,"Infant formula, powder, made with plain bottled water (Similac Advance)",-0.18464827,7.14331502,,
11710359,"Infant formula, powder, made with baby water (Similac Advance)",-0.18234351,7.09699326,,
11710360,"Infant formula, NS as to form (Similac Advance Organic)",-0.18349589,7.12015414,,
11710361,"Infant formula, ready-to-feed (Similac Advance Organic)",-0.18349589,7.12015414,,
11710363,"Infant formula, powder, made with water, NFS (Similac Advance Organic)",-0.18349589,7.12015414,,
11710367,"Infant formula, powder, made with tap water (Similac Advance Organic)",-0.18349589,7.12015414,,
11710368,"Infant formula, powder, made with plain bottled water (Similac Advance Organic)",-0.18464827,7.14331502,,
11710369,"Infant formula, powder, made with baby water (Similac Advance Organic)",-0.18234351,7.09699326,,
11710370,"Infant formula, NS as to form (Similac Sensitive)",-0.17980375,7.04594844,,
11710371,"Infant formula, ready-to-feed (Similac Sensitive)",-0.17980375,7.04594844,,
11710372,"Infant formula, liquid concentrate, made with water, NFS (Similac Sensitive)",-0.17980375,7.04594844,,
11710373,"Infant formula, powder, made with water, NFS (Similac Sensitive)",-0.17980375,7.04594844,,
11710374,"Infant formula, liquid concentrate, made with tap water (Similac Sensitive)",-0.17980375,7.04594844,,
11710375,"Infant formula, liquid concentrate, made with plain bottled water (Similac Sensitive)",-0.18067158,7.06339045,,
11710376,"Infant formula, liquid concentrate, made with baby water (Similac Sensitive)",-0.17836682,7.01706869,,
11710377,"Infant formula, powder, made with tap water (Similac Sensitive)",-0.17980375,7.04594844,,
11710378,"Infant formula, powder, made with plain bottled water (Similac Sensitive)",-0.18067158,7.06339045,,
11710379,"Infant formula, powder, made with baby water (Similac Sensitive)",-0.17836682,7.01706869,,
11710380,"Infant formula, NS as to form (Similac for Spit-Up)",-0.17464284,6.94222306,,
11710381,"Infant formula, ready-to-feed (Similac for Spit-Up)",-0.17464284,6.94222306,,
11710383,"Infant formula, powder, made with water, NFS (Similac for Spit-Up)",-0.17464284,6.94222306,,
11710470,"Infant formula, NS as to form (Similac Expert Care NeoSure)",-0.29838051,9.42913742,,
11710471,"Infant formula, ready-to-feed (Similac Expert Care NeoSure)",-0.29838051,9.42913742,,
11710473,"Infant formula, powder, made with water, NFS (Similac Expert Care NeoSure)",-0.29838051,9.42913742,,
11710477,"Infant formula, powder, made with tap water (Similac Expert Care NeoSure)",-0.29838051,9.42913742,,
11710478,"Infant formula, powder, made with plain bottled water (Similac Expert Care NeoSure)",-0.29924835,9.44657941,,
11710479,"Infant formula, powder, made with baby water (Similac Expert Care NeoSure)",-0.29694358,9.40025766,,
11710480,"Infant formula, NS as to form (Similac Go and Grow)",-0.37422827,10.9535468,,
